gene	transcript	entrez	ensemblGene	ensemblTranscript	chrom	start	end	strand
RHOA	NM_001664.4	387	ENSG00000067560.14	ENST00000418115.6	chr3	49359145	49411976	-
RHOB	NM_004040.4	388	ENSG00000143878.10	ENST00000272233.6	chr2	20447074	20449440	+
RHOC	NM_175744.5	389	ENSG00000155366.17	ENST00000339083.12	chr1	112701131	112707127	-
RND3	NM_005168.5	390	ENSG00000115963.14	ENST00000263895.9	chr2	150468195	150487667	-
RHOG	NM_001665.4	391	ENSG00000177105.10	ENST00000351018.5	chr11	3826978	3840959	-
ARHGAP1	NM_004308.5	392	ENSG00000175220.12	ENST00000311956.9	chr11	46677080	46700619	-
ARHGAP4	NM_001666.5	393	ENSG00000089820.17	ENST00000350060.10	chr23	153907378	153926264	-
ARHGAP5	NM_001030055.2	394	ENSG00000100852.14	ENST00000345122.8	chr14	32077304	32159728	+
ARHGAP6	NM_013427.3	395	ENSG00000047648.23	ENST00000337414.9	chr23	11137544	11665920	-
ARHGDIA	NM_004309.6	396	ENSG00000141522.13	ENST00000269321.12	chr17	81867721	81871337	-
ARHGDIB	NM_001175.7	397	ENSG00000111348.9	ENST00000228945.9	chr12	14942031	14961601	-
ARHGDIG	NM_001176.4	398	ENSG00000242173.10	ENST00000219409.8	chr16	280591	283010	+
RHOH	NM_004310.5	399	ENSG00000168421.14	ENST00000381799.10	chr4	40197031	40246967	+
ARL1	NM_001177.6	400	ENSG00000120805.14	ENST00000261636.13	chr12	101393116	101407772	-
PHOX2A	NM_005169.4	401	ENSG00000165462.5	ENST00000298231.5	chr11	72239077	72244176	-
ARL2	NM_001667.4	402	ENSG00000213465.8	ENST00000246747.9	chr11	65014160	65022184	+
ARL3	NM_004311.4	403	ENSG00000138175.9	ENST00000260746.6	chr10	102673731	102714397	-
ARNT	NM_001668.4	405	ENSG00000143437.21	ENST00000358595.10	chr1	150809713	150876599	-
BMAL1	NM_001297719.2	406	ENSG00000133794.20	ENST00000403290.6	chr11	13277790	13387266	+
ARR3	NM_004312.3	407	ENSG00000120500.19	ENST00000307959.9	chr23	70268334	70281840	+
ARRB1	NM_004041.5	408	ENSG00000137486.17	ENST00000420843.7	chr11	75260122	75351661	-
ARRB2	NM_004313.4	409	ENSG00000141480.18	ENST00000269260.7	chr17	4710632	4721497	+
ARSA	NM_000487.6	410	ENSG00000100299.18	ENST00000216124.10	chr22	50622754	50628152	-
ARSB	NM_000046.5	411	ENSG00000113273.17	ENST00000264914.10	chr5	78777209	78985310	-
STS	NM_001320752.2	412	ENSG00000101846.9	ENST00000674429.1	chr23	7147712	7354641	+
ARSD	NM_001669.4	414	ENSG00000006756.16	ENST00000381154.6	chr23	2903972	2929339	-
ARSL	NM_000047.3	415	ENSG00000157399.17	ENST00000381134.9	chr23	2934521	2964341	-
ARSF	NM_001201539.2	416	ENSG00000062096.15	ENST00000381127.6	chr23	3041471	3112727	+
ART1	NM_004314.3	417	ENSG00000129744.3	ENST00000250693.2	chr11	3645128	3664416	+
ART3	NM_001130016.3	419	ENSG00000156219.18	ENST00000355810.9	chr4	76074709	76112786	+
ART4	NM_021071.4	420	ENSG00000111339.12	ENST00000228936.6	chr12	14825569	14843526	-
ARVCF	NM_001670.3	421	ENSG00000099889.14	ENST00000263207.8	chr22	19969896	20016823	-
ASAH1	NM_177924.5	427	ENSG00000104763.20	ENST00000637790.2	chr8	18055992	18084107	-
ASCL1	NM_004316.4	429	ENSG00000139352.4	ENST00000266744.4	chr12	102957674	102960513	+
ASCL2	NM_005170.3	430	ENSG00000183734.5	ENST00000331289.5	chr11	2268498	2270588	-
ASGR1	NM_001671.5	432	ENSG00000141505.12	ENST00000269299.8	chr17	7173431	7179370	-
ASGR2	NM_001201352.2	433	ENSG00000161944.17	ENST00000691900.1	chr17	7101326	7114822	-
ASIP	NM_001672.3	434	ENSG00000101440.10	ENST00000374954.4	chr20	34241423	34269344	+
ASL	NM_000048.4	435	ENSG00000126522.17	ENST00000304874.14	chr7	66075819	66093576	+
ASMT	NM_001171038.2	438	ENSG00000196433.13	ENST00000381241.9	chr23	1615059	1643081	+
GET3	NM_004317.4	439	ENSG00000198356.12	ENST00000357332.8	chr19	12737497	12748323	+
ASNS	NM_001673.5	440	ENSG00000070669.17	ENST00000394308.8	chr7	97851677	97872408	-
ASPA	NM_000049.4	443	ENSG00000108381.11	ENST00000263080.3	chr17	3475997	3503405	+
ASPH	NM_004318.4	444	ENSG00000198363.18	ENST00000379454.9	chr8	61500556	61714592	-
ASS1	NM_054012.4	445	ENSG00000130707.18	ENST00000352480.10	chr9	130444961	130501274	+
ASTN1	NM_004319.3	460	ENSG00000152092.17	ENST00000361833.7	chr1	176861067	177164712	-
SERPINC1	NM_000488.4	462	ENSG00000117601.15	ENST00000367698.4	chr1	173903800	173917327	-
ZFHX3	NM_006885.4	463	ENSG00000140836.17	ENST00000268489.10	chr16	72782885	73048128	-
ATF1	NM_005171.5	466	ENSG00000123268.9	ENST00000262053.8	chr12	50764101	50821162	+
ATF3	NM_001674.4	467	ENSG00000162772.18	ENST00000341491.9	chr1	212608761	212620775	+
ATF4	NM_182810.3	468	ENSG00000128272.19	ENST00000674920.3	chr22	39520562	39522683	+
ATIC	NM_004044.7	471	ENSG00000138363.15	ENST00000236959.14	chr2	215312059	215349764	+
ATM	NM_000051.4	472	ENSG00000149311.22	ENST00000675843.1	chr11	108223067	108369102	+
RERE	NM_001042681.2	473	ENSG00000142599.20	ENST00000400908.7	chr1	8352404	8817640	-
ATOH1	NM_005172.2	474	ENSG00000172238.6	ENST00000306011.6	chr4	93828753	93830964	+
ATOX1	NM_004045.4	475	ENSG00000177556.12	ENST00000313115.11	chr5	151742822	151758631	-
ATP1A1	NM_000701.8	476	ENSG00000163399.16	ENST00000295598.10	chr1	116373244	116404774	+
ATP1A2	NM_000702.4	477	ENSG00000018625.15	ENST00000361216.8	chr1	160115759	160143591	+
ATP1A3	NM_152296.5	478	ENSG00000105409.19	ENST00000648268.1	chr19	41966582	41994230	-
ATP12A	NM_001676.7	479	ENSG00000075673.12	ENST00000381946.5	chr13	24680408	24712472	+
ATP1A4	NM_144699.4	480	ENSG00000132681.17	ENST00000368081.9	chr1	160151603	160186980	+
ATP1B1	NM_001677.4	481	ENSG00000143153.14	ENST00000367815.9	chr1	169106690	169132719	+
ATP1B2	NM_001678.5	482	ENSG00000129244.9	ENST00000250111.9	chr17	7650926	7657770	+
ATP1B3	NM_001679.4	483	ENSG00000069849.11	ENST00000286371.8	chr3	141876643	141926549	+
FXYD2	NM_001680.5	486	ENSG00000137731.14	ENST00000292079.7	chr11	117820057	117824744	-
ATP2A1	NM_004320.6	487	ENSG00000196296.14	ENST00000395503.9	chr16	28878488	28904466	+
ATP2A2	NM_170665.4	488	ENSG00000174437.18	ENST00000539276.7	chr12	110281247	110351093	+
ATP2A3	NM_005173.4	489	ENSG00000074370.19	ENST00000397041.8	chr17	3923873	3964437	-
ATP2B1	NM_001366521.1	490	ENSG00000070961.17	ENST00000428670.8	chr12	89588049	89708838	-
ATP2B2	NM_001001331.4	491	ENSG00000157087.20	ENST00000360273.7	chr3	10324023	10505586	-
ATP2B3	NM_001001344.3	492	ENSG00000067842.19	ENST00000263519.5	chr23	153517642	153582929	+
ATP2B4	NM_001684.5	493	ENSG00000058668.16	ENST00000357681.10	chr1	203626832	203744081	+
ATP4A	NM_000704.3	495	ENSG00000105675.9	ENST00000262623.4	chr19	35550031	35563658	-
ATP4B	NM_000705.4	496	ENSG00000186009.5	ENST00000335288.5	chr13	113648804	113658198	-
ATP5F1A	NM_004046.6	498	ENSG00000152234.16	ENST00000398752.11	chr18	46080248	46098296	-
ALDH7A1	NM_001182.5	501	ENSG00000164904.18	ENST00000409134.8	chr5	126541841	126595219	-
ATP5F1B	NM_001686.4	506	ENSG00000110955.9	ENST00000262030.8	chr12	56638175	56645984	-
ATP5F1C	NM_001001973.3	509	ENSG00000165629.20	ENST00000356708.12	chr10	7788177	7807801	+
ATP5F1D	NM_001687.5	513	ENSG00000099624.8	ENST00000215375.7	chr19	1241751	1244825	+
ATP5F1E	NM_006886.4	514	ENSG00000124172.10	ENST00000243997.8	chr20	59025475	59032335	-
ATP5PB	NM_001688.5	515	ENSG00000116459.11	ENST00000369722.8	chr1	111449464	111462773	+
ATP5MC1	NM_005175.3	516	ENSG00000159199.14	ENST00000393366.7	chr17	48892787	48895871	+
ATP5MC2	NM_005176.7	517	ENSG00000135390.21	ENST00000394349.9	chr12	53665170	53676083	-
ATP5MC3	NM_001689.5	518	ENSG00000154518.10	ENST00000284727.9	chr2	175176258	175181710	-
ATP5ME	NM_007100.4	521	ENSG00000169020.10	ENST00000304312.5	chr4	672436	674276	-
ATP5PF	NM_001003703.2	522	ENSG00000154723.13	ENST00000284971.8	chr21	25724500	25734904	-
ATP6V1A	NM_001690.4	523	ENSG00000114573.12	ENST00000273398.8	chr3	113747035	113812056	+
ATP6V1B1	NM_001692.4	525	ENSG00000116039.13	ENST00000234396.10	chr2	70935900	70965431	+
ATP6V1B2	NM_001693.4	526	ENSG00000147416.12	ENST00000276390.7	chr8	20197381	20221696	+
ATP6V0C	NM_001694.4	527	ENSG00000185883.12	ENST00000330398.9	chr16	2513952	2520218	+
ATP6V1C1	NM_001695.5	528	ENSG00000155097.12	ENST00000518738.2	chr8	103021083	103073051	+
ATP6V1E1	NM_001696.4	529	ENSG00000131100.13	ENST00000253413.10	chr22	17592136	17628749	-
ATP6V0B	NM_004047.5	533	ENSG00000117410.14	ENST00000472174.7	chr1	43974960	43978295	+
ATP6V1G2	NM_130463.4	534	ENSG00000213760.11	ENST00000303892.10	chr6	31544444	31546608	-
ATP6V0A1	NM_001130021.3	535	ENSG00000033627.18	ENST00000343619.9	chr17	42458878	42522579	+
ATP6AP1	NM_001183.6	537	ENSG00000071553.18	ENST00000369762.7	chr23	154428677	154436516	+
ATP7A	NM_000052.7	538	ENSG00000165240.22	ENST00000341514.11	chr23	77910693	78050395	+
ATP5PO	NM_001697.3	539	ENSG00000241837.7	ENST00000290299.7	chr21	33903453	33915804	-
ATP7B	NM_000053.4	540	ENSG00000123191.18	ENST00000242839.10	chr13	51932669	52011450	-
ATR	NM_001184.4	545	ENSG00000175054.16	ENST00000350721.9	chr3	142449235	142578733	-
ATRX	NM_000489.6	546	ENSG00000085224.23	ENST00000373344.11	chr23	77504880	77786216	-
KIF1A	NM_001244008.2	547	ENSG00000130294.18	ENST00000498729.9	chr2	240713767	240820219	-
AUH	NM_001698.3	549	ENSG00000148090.12	ENST00000375731.9	chr9	91213823	91361918	-
AUP1	NM_181575.5	550	ENSG00000115307.17	ENST00000377526.4	chr2	74526652	74529706	-
AVP	NM_000490.5	551	ENSG00000101200.5	ENST00000380293.3	chr20	3082556	3084724	-
AVPR1A	NM_000706.5	552	ENSG00000166148.4	ENST00000299178.4	chr12	63142759	63151201	-
AVPR1B	NM_000707.5	553	ENSG00000198049.7	ENST00000367126.5	chr1	206106936	206117388	-
AVPR2	NM_000054.7	554	ENSG00000126895.16	ENST00000646375.2	chr23	153904673	153907166	+
AXL	NM_021913.5	558	ENSG00000167601.12	ENST00000301178.9	chr19	41219223	41261766	+
AZGP1	NM_001185.4	563	ENSG00000160862.13	ENST00000292401.9	chr7	99966730	99976031	-
AZU1	NM_001700.5	566	ENSG00000172232.10	ENST00000233997.4	chr19	827837	832018	+
B2M	NM_004048.4	567	ENSG00000166710.23	ENST00000648006.3	chr15	44711517	44718145	+
BAAT	NM_001701.4	570	ENSG00000136881.12	ENST00000259407.7	chr9	101360417	101385006	-
BACH1	NM_001186.4	571	ENSG00000156273.16	ENST00000286800.8	chr21	29298922	29346148	+
BAD	NM_032989.3	572	ENSG00000002330.14	ENST00000309032.8	chr11	64269830	64284665	-
BAG1	NM_004323.6	573	ENSG00000107262.26	ENST00000634734.3	chr9	33252471	33264708	-
ADGRB1	NM_001702.3	575	ENSG00000181790.13	ENST00000517894.6	chr8	142449649	142545007	+
ADGRB2	NM_001364857.2	576	ENSG00000121753.13	ENST00000373658.8	chr1	31727117	31764340	-
ADGRB3	NM_001704.3	577	ENSG00000135298.15	ENST00000370598.6	chr6	68635282	69389506	+
BAK1	NM_001188.4	578	ENSG00000030110.14	ENST00000374467.4	chr6	33572552	33580276	-
NKX3-2	NM_001189.4	579	ENSG00000109705.8	ENST00000382438.6	chr4	13540830	13544508	-
BARD1	NM_000465.4	580	ENSG00000138376.11	ENST00000260947.9	chr2	214725646	214809683	-
BAX	NM_138761.4	581	ENSG00000087088.21	ENST00000345358.12	chr19	48954875	48961798	+
BBS1	NM_024649.5	582	ENSG00000174483.20	ENST00000318312.12	chr11	66510635	66533598	+
BBS2	NM_031885.5	583	ENSG00000125124.14	ENST00000245157.11	chr16	56484385	56520024	-
BBS4	NM_033028.5	585	ENSG00000140463.15	ENST00000268057.9	chr15	72686207	72738473	+
BCAT1	NM_005504.7	586	ENSG00000060982.15	ENST00000261192.12	chr12	24810024	24949101	-
BCAT2	NM_001190.4	587	ENSG00000105552.15	ENST00000316273.11	chr19	48795064	48811029	-
BCHE	NM_000055.4	590	ENSG00000114200.10	ENST00000264381.8	chr3	165772904	165837423	-
BCKDHA	NM_000709.4	593	ENSG00000248098.12	ENST00000269980.7	chr19	41397818	41425002	+
BCKDHB	NM_183050.4	594	ENSG00000083123.15	ENST00000320393.9	chr6	80106671	80346270	+
CCND1	NM_053056.3	595	ENSG00000110092.4	ENST00000227507.3	chr11	69641156	69654474	+
BCL2	NM_000633.3	596	ENSG00000171791.14	ENST00000333681.5	chr18	63123346	63319769	-
BCL2A1	NM_004049.4	597	ENSG00000140379.9	ENST00000267953.4	chr15	79960892	79971196	-
BCL2L1	NM_138578.3	598	ENSG00000171552.14	ENST00000307677.5	chr20	31664458	31722868	-
BCL2L2	NM_004050.5	599	ENSG00000129473.11	ENST00000250405.10	chr14	23306833	23311751	+
BCL3	NM_005178.5	602	ENSG00000069399.15	ENST00000164227.10	chr19	44748708	44760044	+
BCL6	NM_001706.5	604	ENSG00000113916.18	ENST00000406870.7	chr3	187721381	187745468	-
BCL7A	NM_001024808.3	605	ENSG00000110987.9	ENST00000261822.5	chr12	122021884	122062044	+
BCL9	NM_004326.4	607	ENSG00000116128.12	ENST00000234739.8	chr1	147541501	147626216	+
TNFRSF17	NM_001192.3	608	ENSG00000048462.11	ENST00000053243.6	chr16	11965210	11968068	+
HCN2	NM_001194.4	610	ENSG00000099822.3	ENST00000251287.3	chr19	589881	617159	+
OPN1SW	NM_001385125.1	611	ENSG00000128617.3	ENST00000249389.3	chr7	128772485	128775794	-
BCR	NM_004327.4	613	ENSG00000186716.21	ENST00000305877.13	chr22	23180509	23318037	+
BCS1L	NM_001079866.2	617	ENSG00000074582.15	ENST00000359273.8	chr2	218659683	218663443	+
BDH1	NM_203314.3	622	ENSG00000161267.12	ENST00000392379.6	chr3	197509783	197555968	-
BDKRB1	NM_000710.4	623	ENSG00000100739.11	ENST00000216629.11	chr14	96256210	96264763	+
BDKRB2	NM_001379692.1	624	ENSG00000168398.7	ENST00000554311.2	chr14	96204839	96244164	+
BDNF	NM_001709.5	627	ENSG00000176697.20	ENST00000356660.9	chr11	27654893	27700455	-
CFB	NM_001710.6	629	ENSG00000243649.10	ENST00000425368.7	chr6	31946095	31952084	+
BFSP1	NM_001195.5	631	ENSG00000125864.14	ENST00000377873.8	chr20	17493905	17531379	-
BGLAP	NM_199173.6	632	ENSG00000242252.2	ENST00000368272.5	chr1	156242184	156243317	+
BGN	NM_001711.6	633	ENSG00000182492.16	ENST00000331595.9	chr23	153494980	153509546	+
CEACAM1	NM_001712.5	634	ENSG00000079385.23	ENST00000161559.11	chr19	42507306	42528481	-
BHMT	NM_001713.3	635	ENSG00000145692.15	ENST00000274353.10	chr5	79111809	79132288	+
BICD1	NM_001714.4	636	ENSG00000151746.15	ENST00000652176.1	chr12	32106847	32383633	+
BID	NM_001196.4	637	ENSG00000015475.19	ENST00000622694.5	chr22	17734138	17774469	-
BIK	NM_001197.5	638	ENSG00000100290.3	ENST00000216115.3	chr22	43110750	43129712	+
PRDM1	NM_001198.4	639	ENSG00000057657.17	ENST00000369096.9	chr6	106086336	106109938	+
BLK	NM_001715.3	640	ENSG00000136573.16	ENST00000259089.9	chr8	11494387	11564599	+
BLM	NM_000057.4	641	ENSG00000197299.13	ENST00000355112.8	chr15	90717346	90816166	+
BLMH	NM_000386.4	642	ENSG00000108578.15	ENST00000261714.11	chr17	30248203	30291944	-
CXCR5	NM_001716.5	643	ENSG00000160683.5	ENST00000292174.5	chr11	118883892	118897787	+
BLVRA	NM_000712.4	644	ENSG00000106605.11	ENST00000265523.9	chr7	43758680	43807342	+
BLVRB	NM_000713.3	645	ENSG00000090013.11	ENST00000263368.9	chr19	40447768	40465745	-
BNC1	NM_001717.4	646	ENSG00000169594.14	ENST00000345382.7	chr15	83255884	83284664	-
BMI1	NM_005180.9	648	ENSG00000168283.14	ENST00000376663.8	chr10	22321099	22331484	+
BMP1	NM_006129.5	649	ENSG00000168487.20	ENST00000306385.10	chr8	22165372	22212326	+
BMP2	NM_001200.4	650	ENSG00000125845.7	ENST00000378827.5	chr20	6767686	6780246	+
BMP3	NM_001201.5	651	ENSG00000152785.8	ENST00000282701.4	chr4	81030708	81057627	+
BMP4	NM_001202.6	652	ENSG00000125378.16	ENST00000245451.9	chr14	53949736	53956825	-
BMP5	NM_021073.4	653	ENSG00000112175.8	ENST00000370830.4	chr6	55753653	55875590	-
BMP6	NM_001718.6	654	ENSG00000153162.9	ENST00000283147.7	chr6	7726099	7881728	+
BMP7	NM_001719.3	655	ENSG00000101144.13	ENST00000395863.8	chr20	57168753	57266641	-
BMP8B	NM_001720.5	656	ENSG00000116985.12	ENST00000372827.8	chr1	39757182	39788865	-
BMPR1A	NM_004329.3	657	ENSG00000107779.16	ENST00000372037.8	chr10	86756619	86927969	+
BMPR1B	NM_001203.3	658	ENSG00000138696.11	ENST00000515059.6	chr4	94757955	95158448	+
BMPR2	NM_001204.7	659	ENSG00000204217.16	ENST00000374580.10	chr2	202376327	202567749	+
BMX	NM_203281.3	660	ENSG00000102010.15	ENST00000348343.11	chr23	15500807	15556519	+
POLR3D	NM_001722.3	661	ENSG00000168495.13	ENST00000306433.9	chr8	22245133	22254601	+
BNIP1	NM_001205.3	662	ENSG00000113734.18	ENST00000351486.10	chr5	173144531	173164387	+
BNIP2	NM_004330.4	663	ENSG00000140299.14	ENST00000607373.6	chr15	59659146	59689320	-
BNIP3	NM_004052.4	664	ENSG00000176171.12	ENST00000368636.9	chr10	131967684	131981923	-
BNIP3L	NM_004331.3	665	ENSG00000104765.16	ENST00000380629.7	chr8	26383054	26413127	+
BOK	NM_032515.5	666	ENSG00000176720.6	ENST00000318407.5	chr2	241558745	241574131	+
DST	NM_001374736.1	667	ENSG00000151914.22	ENST00000680361.1	chr6	56457996	56954830	-
FOXL2	NM_023067.4	668	ENSG00000183770.7	ENST00000648323.1	chr3	138944224	138947137	-
BPGM	NM_001724.5	669	ENSG00000172331.12	ENST00000344924.8	chr7	134646853	134679816	+
BPHL	NM_004332.4	670	ENSG00000137274.14	ENST00000380379.10	chr6	3118711	3153578	+
BPI	NM_001725.3	671	ENSG00000101425.15	ENST00000642449.2	chr20	38304156	38337505	+
BRCA1	NM_007294.4	672	ENSG00000012048.26	ENST00000357654.9	chr17	43044295	43125364	-
BRAF	NM_004333.6	673	ENSG00000157764.14	ENST00000646891.2	chr7	140730665	140924929	-
BRCA2	NM_000059.4	675	ENSG00000139618.19	ENST00000380152.8	chr13	32315508	32400268	+
BRDT	NM_207189.4	676	ENSG00000137948.19	ENST00000399546.7	chr1	91949401	92014421	+
ZFP36L1	NM_004926.4	677	ENSG00000185650.11	ENST00000439696.3	chr14	68787662	68793067	-
ZFP36L2	NM_006887.5	678	ENSG00000152518.8	ENST00000282388.4	chr2	43222402	43226606	-
BRS3	NM_001727.2	680	ENSG00000102239.5	ENST00000370648.4	chr23	136487947	136493780	+
BSG	NM_001728.4	682	ENSG00000172270.22	ENST00000333511.9	chr19	572596	583493	+
BST1	NM_004334.3	683	ENSG00000109743.12	ENST00000265016.9	chr4	15703065	15732787	+
BST2	NM_004335.4	684	ENSG00000130303.14	ENST00000252593.7	chr19	17402939	17405630	-
BTC	NM_001729.4	685	ENSG00000174808.12	ENST00000395743.8	chr4	74744759	74794523	-
BTD	NM_001370658.1	686	ENSG00000169814.18	ENST00000643237.3	chr3	15601745	15653714	+
KLF9	NM_001206.4	687	ENSG00000119138.5	ENST00000377126.4	chr9	70384604	70414657	-
KLF5	NM_001730.5	688	ENSG00000102554.14	ENST00000377687.6	chr13	73059005	73077538	+
BTF3	NM_001037637.2	689	ENSG00000145741.17	ENST00000380591.8	chr5	73498442	73505667	+
BTG1	NM_001731.3	694	ENSG00000133639.6	ENST00000256015.5	chr12	92140278	92145846	-
BTK	NM_000061.3	695	ENSG00000010671.18	ENST00000308731.8	chr23	101349450	101386191	-
BTN1A1	NM_001732.3	696	ENSG00000124557.14	ENST00000684113.1	chr6	26500303	26510425	+
BUB1	NM_004336.5	699	ENSG00000169679.15	ENST00000302759.11	chr2	110637528	110678063	-
BUB1B	NM_001211.6	701	ENSG00000156970.13	ENST00000287598.11	chr15	40161069	40221123	+
BYSL	NM_004053.4	705	ENSG00000112578.11	ENST00000230340.9	chr6	41921499	41933046	+
TSPO	NM_000714.6	706	ENSG00000100300.18	ENST00000337554.8	chr22	43151559	43163242	+
C1QBP	NM_001212.4	708	ENSG00000108561.8	ENST00000225698.8	chr17	5432777	5439155	-
SERPING1	NM_000062.3	710	ENSG00000149131.17	ENST00000278407.9	chr11	57597685	57614848	+
C1QA	NM_015991.4	712	ENSG00000173372.18	ENST00000374642.8	chr1	22636628	22639678	+
C1QB	NM_001378156.1	713	ENSG00000173369.18	ENST00000509305.6	chr1	22653236	22661637	+
C1QC	NM_172369.5	714	ENSG00000159189.13	ENST00000374640.9	chr1	22643633	22648108	+
C1R	NM_001733.7	715	ENSG00000159403.18	ENST00000647956.2	chr12	7080219	7092445	-
C1S	NM_001734.5	716	ENSG00000182326.17	ENST00000360817.10	chr12	7060718	7071032	+
C2	NM_000063.6	717	ENSG00000166278.16	ENST00000299367.10	chr6	31927717	31945672	+
C3	NM_000064.4	718	ENSG00000125730.18	ENST00000245907.11	chr19	6677704	6720650	-
C3AR1	NM_004054.4	719	ENSG00000171860.5	ENST00000307637.5	chr12	8056844	8066359	-
C4A	NM_007293.3	720	ENSG00000244731.10	ENST00000428956.7	chr6	31982057	32002681	+
C4B	NM_001002029.4	721	ENSG00000224389.9	ENST00000435363.7	chr6	32014795	32035418	+
C4BPA	NM_000715.4	722	ENSG00000123838.11	ENST00000367070.8	chr1	207104233	207144972	+
C4BPB	NM_001017365.3	725	ENSG00000123843.13	ENST00000367078.8	chr1	207088860	207099993	+
CAPN5	NM_004055.5	726	ENSG00000149260.18	ENST00000648180.1	chr11	77066971	77126155	+
C5	NM_001735.3	727	ENSG00000106804.10	ENST00000223642.3	chr9	120952335	121050275	-
C5AR1	NM_001736.4	728	ENSG00000197405.8	ENST00000355085.4	chr19	47309861	47322066	+
C6	NM_000065.5	729	ENSG00000039537.16	ENST00000337836.10	chr5	41142116	41213532	-
C7	NM_000587.4	730	ENSG00000112936.21	ENST00000313164.10	chr5	40909497	40984643	+
C8A	NM_000562.3	731	ENSG00000157131.12	ENST00000361249.4	chr1	56854797	56918223	+
C8B	NM_000066.4	732	ENSG00000021852.14	ENST00000371237.9	chr1	56929207	56966015	-
C8G	NM_000606.3	733	ENSG00000176919.13	ENST00000371634.7	chr9	136945243	136946975	+
OSGIN2	NM_001126111.3	734	ENSG00000164823.11	ENST00000451899.7	chr8	89902570	89927888	+
C9	NM_001737.5	735	ENSG00000113600.12	ENST00000263408.5	chr5	39284140	39364495	-
VPS51	NM_013265.4	738	ENSG00000149823.10	ENST00000279281.8	chr11	65096214	65111862	+
MRPL49	NM_004927.4	740	ENSG00000149792.9	ENST00000279242.7	chr11	65122321	65127371	+
ZNHIT2	NM_014205.4	741	ENSG00000174276.7	ENST00000310597.6	chr11	65116403	65117701	-
MPPED2	NM_001584.3	744	ENSG00000066382.17	ENST00000358117.10	chr11	30410224	30586353	-
MYRF	NM_001127392.3	745	ENSG00000124920.14	ENST00000278836.10	chr11	61752636	61788518	+
TMEM258	NM_014206.4	746	ENSG00000134825.16	ENST00000537328.6	chr11	61788949	61792599	-
DAGLA	NM_006133.3	747	ENSG00000134780.10	ENST00000257215.10	chr11	61680391	61747001	+
FMNL1	NM_005892.4	752	ENSG00000184922.15	ENST00000331495.8	chr17	45221885	45247318	+
LDLRAD4	NM_001378100.1	753	ENSG00000168675.19	ENST00000359446.11	chr18	13218760	13652751	+
PTTG1IP	NM_004339.4	754	ENSG00000183255.12	ENST00000330938.8	chr21	44849598	44873690	-
CFAP410	NM_004928.3	755	ENSG00000160226.16	ENST00000339818.9	chr21	44328944	44339390	-
TMEM50B	NM_006134.7	757	ENSG00000142188.17	ENST00000542230.7	chr21	33449141	33479974	-
MPPED1	NM_001044370.2	758	ENSG00000186732.14	ENST00000443721.2	chr22	43412014	43507848	+
CA1	NM_001128831.4	759	ENSG00000133742.14	ENST00000523022.6	chr8	85327608	85378113	-
CA2	NM_000067.3	760	ENSG00000104267.10	ENST00000285379.10	chr8	85464007	85481493	+
CA3	NM_005181.4	761	ENSG00000164879.7	ENST00000285381.3	chr8	85438859	85449040	+
CA4	NM_000717.5	762	ENSG00000167434.10	ENST00000300900.9	chr17	60149973	60159546	+
CA5A	NM_001739.2	763	ENSG00000174990.8	ENST00000649794.3	chr16	87888013	87936529	-
CA6	NM_001215.4	765	ENSG00000131686.15	ENST00000377443.7	chr1	8945868	8975092	+
